ID_juntaEjecutada;ID_JUNTA;ID_SPOOL;ID_ISO;ID_LINEA;REV_EJECUCION;NUMERO_JUNTA;ID_TIPO_UNION;NPS;DIAMETRO_WDI;PROCESO_SOLDADURA;RESPONSABLE;ROL_EJECUTOR;ESTAMPA_EJECUTOR;FECHA_EJECUCION;ESTADO_EJECUCION;OBSERVACIONES;FOTO_EVIDENCIA;usuarioReporte
83b99306;"03351-CT-3""-C2-0012-N_HOJA-1_SP01_2";"03351-CT-3""-C2-0012-N_HOJA-1_SP01";"03351-CT-3""-C2-0012-N_HOJA-1";"03351-CT-3""-C2-0012-N";0;2;BW;3;3;;;;;20/03/2026;CORTE DIMENSIONADO;;;Cristian Luke
83b99307;"03351-CT-3""-C2-0012-N_HOJA-1_SP01_3";"03351-CT-3""-C2-0012-N_HOJA-1_SP01";"03351-CT-3""-C2-0012-N_HOJA-1";"03351-CT-3""-C2-0012-N";0;3;BW;3;3;;;;;20/03/2026;CORTE DIMENSIONADO;;;Cristian Luke
83b99308;"03351-CT-3""-C2-0012-N_HOJA-1_SP02_5";"03351-CT-3""-C2-0012-N_HOJA-1_SP02";"03351-CT-3""-C2-0012-N_HOJA-1";"03351-CT-3""-C2-0012-N";0;5;BW;3;3;;;;;20/03/2026;CORTE DIMENSIONADO;;;Cristian Luke
83b99309;"03351-CT-3""-C2-0060-N_HOJA-1_SP01_1";"03351-CT-3""-C2-0060-N_HOJA-1_SP01";"03351-CT-3""-C2-0060-N_HOJA-1";"03351-CT-3""-C2-0060-N";0;1;SO;3;3;;;;;19/03/2026;CORTE DIMENSIONADO;;;Cristian Luke
83b99310;"03351-CT-3""-C2-0061-N_HOJA-1_SP01_1";"03351-CT-3""-C2-0061-N_HOJA-1_SP01";"03351-CT-3""-C2-0061-N_HOJA-1";"03351-CT-3""-C2-0061-N";0;1;SO;3;3;;;;;19/03/2026;CORTE DIMENSIONADO;;;Cristian Luke
83b99311;"03351-CT-3""-C2-0062-N_HOJA-1_SP01_1";"03351-CT-3""-C2-0062-N_HOJA-1_SP01";"03351-CT-3""-C2-0062-N_HOJA-1";"03351-CT-3""-C2-0062-N";0;1;SO;3;3;;;;;19/03/2026;CORTE DIMENSIONADO;;;Cristian Luke
83b99312;"03351-CT-3""-C2-0062-N_HOJA-1_SP01_2";"03351-CT-3""-C2-0062-N_HOJA-1_SP01";"03351-CT-3""-C2-0062-N_HOJA-1";"03351-CT-3""-C2-0062-N";0;2;BW;3;3;;;;;19/03/2026;CORTE DIMENSIONADO;;;Cristian Luke
83b99313;"03351-CT-3""-C2-0062-N_HOJA-1_SP01_3";"03351-CT-3""-C2-0062-N_HOJA-1_SP01";"03351-CT-3""-C2-0062-N_HOJA-1";"03351-CT-3""-C2-0062-N";0;3;BW;3;3;;;;;19/03/2026;CORTE DIMENSIONADO;;;Cristian Luke
83b99314;"03351-CT-3""-C2-0065-N_HOJA-1_SP01_1";"03351-CT-3""-C2-0065-N_HOJA-1_SP01";"03351-CT-3""-C2-0065-N_HOJA-1";"03351-CT-3""-C2-0065-N";0;1;SO;3;3;;;;;19/03/2026;CORTE DIMENSIONADO;;;Cristian Luke
83b99315;"03351-CT-3""-C2-0065-N_HOJA-1_SP01_2";"03351-CT-3""-C2-0065-N_HOJA-1_SP01";"03351-CT-3""-C2-0065-N_HOJA-1";"03351-CT-3""-C2-0065-N";0;2;BW;3;3;;;;;19/03/2026;CORTE DIMENSIONADO;;;Cristian Luke
